,Datetime,Stage,Home Team Goals,Away Team Goals,Home Team Name,Away Team Name,Winner,Win conditions
,20-Nov-22,Group,0,2,Qatar,Ecuador,2,
,21-Nov-22,Group,6,2,England,Iran,1,
,21-Nov-22,Group,1,1,USA,Wales,0,
,21-Nov-22,Group,0,2,Senegal,Netherlands,2,
,22-Nov-22,Group,1,2,Argentina,Saudi Arabia,2,
,22-Nov-22,Group,0,0,Denmark,Tunisia,0,
,22-Nov-22,Group,0,0,Mexico,Poland,0,
,22-Nov-22,Group,4,1,France,Australia,1,
,23-Nov-22,Group,0,0,Morocco,Croatia,0,
,23-Nov-22,Group,1,2,Germany,Japan,2,
,23-Nov-22,Group,7,0,Spain,Costa Rica,1,
,23-Nov-22,Group,1,0,Belgium,Canada,1,
,24-Nov-22,Group,1,0,Switzerland,Cameroon,1,
,24-Nov-22,Group,0,0,Uruguay,South Korea,0,
,24-Nov-22,Group,3,2,Portugal,Ghana,1,
,24-Nov-22,Group,2,0,Brazil,Serbia,1,
,25-Nov-22,Group,0,2,Wales,Iran,2,
,25-Nov-22,Group,1,3,Qatar,Senegal,2,
,25-Nov-22,Group,1,1,Netherlands,Ecuador,0,
,25-Nov-22,Group,0,0,England,USA,0,
,26-Nov-22,Group,0,1,Tunisia,Australia,2,
,26-Nov-22,Group,2,0,Poland,Saudi Arabia,1,
,26-Nov-22,Group,2,1,France,Denmark,1,
,26-Nov-22,Group,2,0,Argentina,Mexico,1,
,27-Nov-22,Group,0,1,Japan,Costa Rica,2,
,27-Nov-22,Group,0,2,Belgium,Morocco,2,
,27-Nov-22,Group,4,1,Croatia,Canada,1,
,27-Nov-22,Group,1,1,Spain,Germany,0,
,28-Nov-22,Group,3,3,Cameroon,Serbia,0,
,28-Nov-22,Group,2,3,South Korea,Ghana,2,
,28-Nov-22,Group,1,0,Brazil,Switzerland,1,
,28-Nov-22,Group,2,0,Portugal,Uruguay,1,
,29-Nov-22,Group,1,2,Ecuador,Senegal,2,
,29-Nov-22,Group,2,0,Netherlands,Qatar,1,
,29-Nov-22,Group,0,1,Iran,USA,2,
,29-Nov-22,Group,0,3,Wales,England,2,
,30-Nov-22,Group,1,0,Tunisia,France,1,
,30-Nov-22,Group,1,0,Australia,Denmark,1,
,30-Nov-22,Group,0,2,Poland,Argentina,2,
,30-Nov-22,Group,1,2,Saudi Arabia,Mexico,2,
,1-Dec-22,Group,0,0,Croatia,Belgium,0,
,1-Dec-22,Group,1,2,Canada,Morocco,2,
,1-Dec-22,Group,2,1,Japan,Spain,1,
,1-Dec-22,Group,2,4,Costa Rica,Germany,2,
,2-Dec-22,Group,2,1,South Korea,Portugal,1,
,2-Dec-22,Group,0,2,Ghana,Uruguay,2,
,2-Dec-22,Group,2,3,Serbia,Switzerland,2,
,2-Dec-22,Group,1,0,Cameroon,Brazil,1,
,3-Dec-22,Round of 16,3,1,Netherlands,USA,1,
,3-Dec-22,Round of 16,2,1,Argentina,Australia,1,
,4-Dec-22,Round of 16,3,1,France,Poland,1,
,4-Dec-22,Round of 16,3,0,England,Senegal,1,
,5-Dec-22,Round of 16,1,1,Japan,Croatia,2,Win on penalties 1-3
,5-Dec-22,Round of 16,4,1,Brazil,South Korea,1,
,6-Dec-22,Round of 16,0,0,Morocco,Spain,1,Win on penalties 3-0
,6-Dec-22,Round of 16,6,1,Portugal,Switzerland,1,
,9-Dec-22,Quarter-finals,,,Croatia,Brazil,,
,9-Dec-22,Quarter-finals,,,Netherlands,Argentina,,
,10-Dec-22,Quarter-finals,,,Morocco,Portugal,,
,10-Dec-22,Quarter-finals,,,England,France,,
,13-Dec-22,Semi-finals,,,,,,
,14-Dec-22,Semi-finals,,,,,,
,17-Dec-22,Third-place,,,,,,
,18-Dec-22,Final,,,,,,